,geneid,chr,left,right
341,cg00014168,1,6434465,6434466
345,cg00014272,19,2280227,2280228
351,cg00014445,1,43806640,43806641
362,cg00014806,19,2426658,2426659
365,cg00014900,1,44210998,44210999
373,cg00015286,1,38885249,38885250
384,cg00015930,1,46694333,46694334
385,cg00016066,15,54997950,54997951
389,cg00016238,1,242440688,242440689
398,cg00016593,1,41256010,41256011
405,cg00016892,19,46640493,46640494
408,cg00016968,1,113051971,113051972
409,cg00016996,1,2323882,2323883
413,cg00017062,15,68456602,68456603
415,cg00017157,1,165393977,165393978
418,cg00017221,1,147986160,147986161
423,cg00017437,1,2696195,2696196
424,cg00017441,19,18081973,18081974
428,cg00017546,1,28532062,28532063
430,cg00017639,15,83239986,83239987
434,cg00017970,1,26360324,26360325
438,cg00018103,1,29386336,29386337
441,cg00018184,1,151786474,151786475
444,cg00018229,1,229180042,229180043
462,cg00019137,19,45794947,45794948
463,cg00019151,1,171736772,171736773
465,cg00019275,19,39941057,39941058
467,cg00019308,1,232973527,232973528
469,cg00019377,19,45726864,45726865
470,cg00019458,1,7810529,7810530
471,cg00019463,15,57066995,57066996
477,cg00019759,1,210754465,210754466
487,cg00020175,15,68911747,68911748
497,cg00020474,1,8137550,8137551
500,cg00020649,15,26015157,26015158
501,cg00020720,1,84745070,84745071
506,cg00021028,21,44033658,44033659
510,cg00021123,1,16818036,16818037
515,cg00021242,15,27560717,27560718
525,cg00021550,1,53981668,53981669
527,cg00021576,1,242278589,242278590
530,cg00021783,15,41185873,41185874
533,cg00021933,1,85854904,85854905
535,cg00021945,19,57122732,57122733
538,cg00022054,1,47949848,47949849
547,cg00022492,15,38842822,38842823
549,cg00022594,19,15373550,15373551
552,cg00022642,1,229444233,229444234
558,cg00022911,19,19233392,19233393
559,cg00022966,1,204014548,204014549
562,cg00023024,1,23393859,23393860
564,cg00023154,1,44645050,44645051
565,cg00023168,19,49360908,49360909
566,cg00023174,19,12063386,12063387
575,cg00023492,1,19843297,19843298
578,cg00023695,15,73017647,73017648
579,cg00023702,1,114298294,114298295
580,cg00023726,1,2829795,2829796
588,cg00024198,1,2433437,2433438
590,cg00024280,19,17362257,17362258
600,cg00024722,15,29950552,29950553
604,cg00024989,19,17763242,17763243
608,cg00025185,15,97368382,97368383
609,cg00025211,1,144299984,144299985
612,cg00025357,1,17450042,17450043
617,cg00025591,21,46850471,46850472
619,cg00025643,1,37677281,37677282
623,cg00025715,19,63288909,63288910
630,cg00026030,21,33022310,33022311
637,cg00026222,1,2134104,2134105
641,cg00026346,15,40054567,40054568
647,cg00026457,1,198383359,198383360
650,cg00026546,1,33127372,33127373
651,cg00026553,15,88363843,88363844
653,cg00026703,15,94671034,94671035
656,cg00026803,1,158321877,158321878
659,cg00026909,1,57861589,57861590
673,cg00027466,1,154535672,154535673
675,cg00027570,1,117108192,117108193
677,cg00027637,1,224967144,224967145
678,cg00027650,15,55297867,55297868
683,cg00027990,19,18229368,18229369
684,cg00027995,15,37675385,37675386
685,cg00028013,15,72005750,72005751
687,cg00028022,1,245051196,245051197
691,cg00028184,1,220705267,220705268
700,cg00028429,15,99091002,99091003
703,cg00028487,19,57722523,57722524
704,cg00028507,1,2907966,2907967
706,cg00028598,15,24679726,24679727
708,cg00028677,15,53671950,53671951
719,cg00028993,19,52939526,52939527
732,cg00029640,19,40461981,40461982
735,cg00029822,15,73658785,73658786
745,cg00030047,1,6191377,6191378
753,cg00030423,19,34396053,34396054
756,cg00030466,1,3137751,3137752
757,cg00030476,1,145108659,145108660
758,cg00030501,1,221248096,221248097
762,cg00030604,1,2369691,2369692
765,cg00030774,15,27219435,27219436
768,cg00030816,1,144218861,144218862
771,cg00031063,1,17176339,17176340
783,cg00031443,19,7505076,7505077
784,cg00031456,1,109036442,109036443
788,cg00031663,19,10515640,10515641
796,cg00032036,19,7506417,7506418
797,cg00032192,19,12679196,12679197
802,cg00032366,19,5643159,5643160
807,cg00032643,1,3690540,3690541
811,cg00032701,19,7817195,7817196
816,cg00032879,1,2294124,2294125
818,cg00032912,15,94688533,94688534
820,cg00033102,1,28434582,28434583
821,cg00033127,1,98900034,98900035
829,cg00033371,19,4907786,4907787
837,cg00033666,15,94688047,94688048
839,cg00033703,15,61353308,61353309
840,cg00033773,19,12640366,12640367
845,cg00033915,19,7410569,7410570
850,cg00034101,1,39871182,39871183
852,cg00034154,19,10198163,10198164
856,cg00034416,1,153545348,153545349
857,cg00034433,1,222870460,222870461
858,cg00034468,1,227634700,227634701
859,cg00034555,19,14063331,14063332
860,cg00034556,1,556594,556595
871,cg00035000,1,25127590,25127591
875,cg00035237,1,31311466,31311467
876,cg00035249,1,226337104,226337105
885,cg00035608,19,41980290,41980291
886,cg00035623,19,60611648,60611649
891,cg00035847,1,29429603,29429604
897,cg00035969,1,111960620,111960621
900,cg00036110,1,39919247,39919248
903,cg00036137,19,61380251,61380252
905,cg00036263,1,243918976,243918977
909,cg00036347,1,150078547,150078548
917,cg00036599,1,148518698,148518699
928,cg00037072,1,25446527,25446528
933,cg00037314,19,14135039,14135040
936,cg00037406,19,786147,786148
938,cg00037450,21,44351457,44351458
946,cg00038020,1,221642416,221642417
947,cg00038131,1,143924695,143924696
948,cg00038167,19,7504438,7504439
954,cg00038446,1,170902291,170902292
955,cg00038584,19,17794300,17794301
957,cg00038675,1,151120167,151120168
959,cg00038736,19,43568974,43568975
961,cg00038877,1,225239227,225239228
970,cg00039326,1,36388432,36388433
971,cg00039385,19,4509558,4509559
984,cg00039936,19,54959693,54959694
986,cg00040007,15,39009568,39009569
988,cg00040013,1,247135096,247135097
992,cg00040067,1,33138290,33138291
997,cg00040367,1,167604100,167604101
998,cg00040380,1,152229731,152229732
1003,cg00040427,19,13905197,13905198
1004,cg00040446,1,40140552,40140553
1010,cg00040569,19,49130653,49130654
1012,cg00040588,1,1280575,1280576
1017,cg00040837,1,234147720,234147721
1018,cg00040861,19,2279391,2279392
1022,cg00040945,15,81471535,81471536
1023,cg00040986,1,155223263,155223264
1024,cg00041014,1,52270632,52270633
1025,cg00041047,19,54520441,54520442
1031,cg00041401,1,114215931,114215932
1036,cg00041636,15,76740737,76740738
1037,cg00041641,1,149291238,149291239
1041,cg00041872,1,46405277,46405278
1048,cg00042144,1,208024658,208024659
1053,cg00042254,1,45792550,45792551
1058,cg00042356,1,7944549,7944550
1063,cg00042657,1,170020251,170020252
1064,cg00042683,15,43274767,43274768
1070,cg00043005,19,2178429,2178430
1073,cg00043080,19,45544995,45544996
1076,cg00043324,1,245262440,245262441
1081,cg00043510,1,233880757,233880758
1085,cg00043599,1,45047187,45047188
1087,cg00043790,1,6016559,6016560
1099,cg00044318,19,39680591,39680592
1100,cg00044354,1,67162472,67162473
1102,cg00044463,1,182273556,182273557
1108,cg00044796,1,145019014,145019015
1111,cg00044995,19,359683,359684
1113,cg00045070,1,55277237,55277238
1114,cg00045114,1,170940782,170940783
1118,cg00045275,1,43162230,43162231
1119,cg00045303,21,36354490,36354491
1123,cg00045607,1,159306314,159306315
1124,cg00045689,1,234083808,234083809
1133,cg00046018,1,200584709,200584710
1138,cg00046105,1,231179150,231179151
1141,cg00046410,1,35353649,35353650
1144,cg00046560,15,99653147,99653148
1146,cg00046625,1,66031348,66031349
1158,cg00047185,19,58888661,58888662
1173,cg00048381,1,152854131,152854132
1185,cg00049156,1,93416491,93416492
1186,cg00049253,1,229540164,229540165
1192,cg00049400,1,119377265,119377266
1200,cg00049691,1,148128757,148128758
1201,cg00049709,1,3047670,3047671
1202,cg00049718,1,115102082,115102083
1217,cg00050294,1,2876678,2876679
1257,cg00052482,1,149492763,149492764
1259,cg00052561,19,11569537,11569538
1262,cg00052626,1,15723429,15723430
1272,cg00053073,19,18198107,18198108
1273,cg00053086,1,231185919,231185920
1281,cg00053536,1,17163796,17163797
1287,cg00053851,1,224337065,224337066
1291,cg00054173,21,33464306,33464307
1294,cg00054243,1,52962900,52962901
1298,cg00054408,19,3226609,3226610
1309,cg00054741,19,58893059,58893060
1311,cg00054774,21,42246148,42246149
1321,cg00055434,1,2405204,2405205
1327,cg00055603,1,48281426,48281427
1333,cg00055811,1,8465599,8465600
1335,cg00055881,1,6075660,6075661
1344,cg00056433,1,159658431,159658432
1353,cg00056754,1,165330582,165330583
1356,cg00057092,15,34817452,34817453
1357,cg00057114,1,6266949,6266950
1364,cg00057393,15,94698800,94698801
1374,cg00057676,1,176778764,176778765
1377,cg00057791,1,12489769,12489770
1384,cg00058291,1,227040756,227040757
1385,cg00058296,1,236014058,236014059
1386,cg00058299,1,113299716,113299717
1399,cg00058923,1,159335791,159335792
1400,cg00058938,19,45416573,45416574
1401,cg00059015,1,60113133,60113134
1402,cg00059024,15,88034621,88034622
1403,cg00059034,1,98286670,98286671
1415,cg00059459,1,8266162,8266163
1421,cg00059737,1,12323021,12323022
1425,cg00059879,15,47321984,47321985
1432,cg00060374,1,1345098,1345099
1437,cg00060606,1,44913027,44913028
1441,cg00060715,1,212846280,212846281
1442,cg00060762,15,50051425,50051426
1448,cg00060956,1,42982163,42982164
1452,cg00061059,19,14501983,14501984
1463,cg00061678,1,169043343,169043344
1467,cg00061769,1,153925467,153925468
1471,cg00061860,15,76740083,76740084
1473,cg00062020,1,84873407,84873408
1474,cg00062070,15,34718958,34718959
1475,cg00062072,1,1147547,1147548
1480,cg00062312,1,23218931,23218932
1484,cg00062592,1,1645663,1645664
1485,cg00062736,15,97989206,97989207
1486,cg00062776,19,54094236,54094237
1491,cg00063077,1,101133240,101133241
1497,cg00063346,1,226555912,226555913
1500,cg00063456,1,229585148,229585149
1501,cg00063471,15,49173262,49173263
1506,cg00063649,15,65600752,65600753
1507,cg00063699,1,212690865,212690866
1509,cg00063734,15,66048188,66048189
1511,cg00063748,1,3342846,3342847
1517,cg00063982,1,52813079,52813080
1522,cg00064255,1,89872600,89872601
1523,cg00064261,1,227636680,227636681
1534,cg00065048,1,27834624,27834625
1535,cg00065071,1,112963628,112963629
1537,cg00065215,1,18831855,18831856
1539,cg00065302,21,29288121,29288122
1544,cg00065569,1,113468390,113468391
1547,cg00065905,1,116182827,116182828
1551,cg00065957,1,52871940,52871941
1557,cg00066270,1,184531893,184531894
1561,cg00066468,15,38649083,38649084
1562,cg00066499,1,26699264,26699265
1565,cg00066554,1,158652260,158652261
1569,cg00066671,1,102235178,102235179
1570,cg00066722,1,43407107,43407108
1584,cg00067058,1,27093478,27093479
1585,cg00067102,1,239869990,239869991
1588,cg00067141,15,28717791,28717792
1589,cg00067196,1,202455865,202455866
1593,cg00067471,19,1192377,1192378
1594,cg00067518,1,7685812,7685813
1598,cg00067576,19,2426014,2426015
1608,cg00067884,15,61757251,61757252
1611,cg00068153,1,199295225,199295226
1616,cg00068377,1,3265040,3265041
1618,cg00068412,1,42279415,42279416
1620,cg00068433,1,16412717,16412718
1621,cg00068503,1,40555300,40555301
1629,cg00069002,1,33545323,33545324
1631,cg00069014,1,14029427,14029428
1632,cg00069017,1,5974227,5974228
1633,cg00069059,1,45859448,45859449
1642,cg00069771,1,231155898,231155899
1644,cg00069860,1,44655814,44655815
1649,cg00070162,1,91625379,91625380
1654,cg00070370,15,81236081,81236082
1666,cg00071012,15,19943412,19943413
1674,cg00071250,1,170894886,170894887
1678,cg00071381,1,119712097,119712098
1690,cg00071887,15,72005582,72005583
1698,cg00072407,19,12748524,12748525
1701,cg00072675,1,56715216,56715217
1710,cg00073090,19,1216879,1216880
1711,cg00073244,1,3518968,3518969
1713,cg00073384,1,246410274,246410275
1715,cg00073543,1,38714469,38714470
1725,cg00074145,15,50862797,50862798
1726,cg00074184,1,116320846,116320847
1731,cg00074379,1,152511912,152511913
1736,cg00074771,15,41907633,41907634
1756,cg00075967,15,72282407,72282408
1757,cg00075975,1,228558264,228558265
1773,cg00076797,1,110824437,110824438
1779,cg00077281,15,56627888,56627889
1780,cg00077285,15,35215083,35215084
1781,cg00077297,15,77292676,77292677
1786,cg00077457,1,90232588,90232589
1791,cg00077586,21,17806747,17806748
1809,cg00078456,1,1554285,1554286
1810,cg00078513,15,23039207,23039208
1818,cg00078968,1,226292282,226292283
1822,cg00079169,19,2762669,2762670
1826,cg00079302,19,1390985,1390986
1827,cg00079375,15,76912890,76912891
1834,cg00079638,15,42790944,42790945
1858,cg00081019,1,241725423,241725424
1860,cg00081084,19,41304562,41304563
1863,cg00081141,1,226226827,226226828
1864,cg00081251,1,45738266,45738267
1876,cg00081729,1,238723360,238723361
1877,cg00081799,1,6313380,6313381
1886,cg00082182,1,93687453,93687454
1889,cg00082285,1,1087133,1087134
1895,cg00082497,1,32574720,32574721
1896,cg00082540,21,45221202,45221203
1917,cg00083193,15,63124478,63124479
1921,cg00083262,1,155392150,155392151
1928,cg00083616,19,40673211,40673212
1929,cg00083652,1,89511927,89511928
1931,cg00083685,21,42640655,42640656
1937,cg00083959,15,49030881,49030882
1944,cg00084271,1,158388111,158388112
1960,cg00085061,21,42034693,42034694
1961,cg00085122,1,11631605,11631606
1967,cg00085403,1,143643564,143643565
1974,cg00085493,1,206106826,206106827
1978,cg00085790,1,209788723,209788724
1979,cg00085830,1,181074877,181074878
1981,cg00086113,15,73547876,73547877
1983,cg00086243,1,1132268,1132269
1984,cg00086266,1,1232758,1232759
1988,cg00086346,19,3859136,3859137
1992,cg00086493,19,56227160,56227161
2008,cg00087273,1,17258879,17258880
2015,cg00087420,1,33863528,33863529
2018,cg00087511,1,8992462,8992463
2019,cg00087546,1,3298146,3298147
2021,cg00087601,21,34668964,34668965
2024,cg00087735,1,8312820,8312821
2027,cg00087799,19,4782891,4782892
2028,cg00087884,1,6448138,6448139
2038,cg00088080,1,210928432,210928433
2041,cg00088183,1,90957756,90957757
2043,cg00088251,1,1439617,1439618
2049,cg00088507,15,27286534,27286535
2064,cg00089162,15,87483172,87483173
2069,cg00089372,1,154736588,154736589
2070,cg00089384,15,49759991,49759992
2077,cg00089512,1,2278027,2278028
2086,cg00089864,15,62842358,62842359
2087,cg00089915,1,66772272,66772273
2088,cg00089945,1,220883481,220883482
2091,cg00090103,1,154187387,154187388
2094,cg00090197,1,43511319,43511320
2099,cg00090338,19,37527666,37527667
2102,cg00090521,15,25633590,25633591
2106,cg00090648,1,224253899,224253900
2110,cg00090764,1,2248925,2248926
2113,cg00090787,15,64582399,64582400
2118,cg00091004,1,201721912,201721913
2120,cg00091060,19,62613894,62613895
2124,cg00091162,1,166172908,166172909
2126,cg00091285,1,98283619,98283620
2127,cg00091302,1,180869609,180869610
2130,cg00091552,1,43007454,43007455
2133,cg00091596,15,96304807,96304808
2138,cg00091781,15,38673393,38673394
2154,cg00092565,21,46339637,46339638
2156,cg00092644,1,95132967,95132968
2158,cg00092711,21,46674745,46674746
2161,cg00092992,1,33368687,33368688
2169,cg00093220,1,113059740,113059741
2172,cg00093436,1,35944866,35944867
2174,cg00093522,1,2241879,2241880
2177,cg00093643,15,42366802,42366803
2181,cg00093794,1,55023405,55023406
2186,cg00093900,1,202647635,202647636
2189,cg00094006,1,47748594,47748595
2191,cg00094044,1,147130819,147130820
2193,cg00094095,1,202101319,202101320
2199,cg00094269,1,17138154,17138155
2205,cg00094487,15,63042981,63042982
2207,cg00094585,1,53403910,53403911
2216,cg00094858,19,54314901,54314902
2221,cg00094944,19,11710910,11710911
2227,cg00095214,1,38044787,38044788
2230,cg00095326,1,227007572,227007573
2237,cg00095526,1,199348309,199348310
2238,cg00095594,1,234295248,234295249
2241,cg00095674,1,148389278,148389279
2244,cg00095688,1,1993724,1993725
2249,cg00095870,19,1070388,1070389
2254,cg00096039,15,23202043,23202044
2275,cg00097038,1,195649394,195649395
2276,cg00097081,19,56562885,56562886
2282,cg00097228,1,63555755,63555756
2289,cg00097452,1,209372988,209372989
2294,cg00097573,1,201097118,201097119
2295,cg00097599,1,35269835,35269836
2297,cg00097626,1,204048872,204048873
2298,cg00097639,21,42030530,42030531
2299,cg00097645,19,9186438,9186439
2300,cg00097790,1,147196844,147196845
2304,cg00097968,1,150393599,150393600
2312,cg00098182,15,20544613,20544614
2314,cg00098239,19,7505173,7505174
2318,cg00098304,15,91380373,91380374
2319,cg00098336,1,39045854,39045855
2320,cg00098451,1,16243221,16243222
2322,cg00098673,15,62172656,62172657
2323,cg00098693,1,183969824,183969825
2324,cg00098718,15,78859655,78859656
2327,cg00098799,15,97226883,97226884
2328,cg00098814,15,64466104,64466105
2337,cg00099216,1,33203154,33203155
2343,cg00099427,1,158136758,158136759
2348,cg00099768,1,173428759,173428760
2355,cg00100121,1,167663259,167663260
2363,cg00100762,1,202301551,202301552
2368,cg00101104,19,58911419,58911420
2370,cg00101118,1,51474328,51474329
2372,cg00101227,1,159546890,159546891
2381,cg00101629,1,14941553,14941554
2384,cg00101713,15,30772159,30772160
2391,cg00101986,1,24944343,24944344
2393,cg00102093,1,230412546,230412547
2394,cg00102166,1,43197924,43197925
2395,cg00102183,1,109573962,109573963
2396,cg00102266,1,121131357,121131358
2402,cg00102714,1,205991966,205991967
2403,cg00102726,21,45721609,45721610
2407,cg00102955,1,148496969,148496970
2410,cg00103132,1,45729519,45729520
2411,cg00103209,1,203319888,203319889
2412,cg00103299,15,91163251,91163252
2413,cg00103329,1,202388546,202388547
2414,cg00103398,1,172100778,172100779
2417,cg00103568,1,6581853,6581854
2422,cg00103785,1,153309946,153309947
2424,cg00103855,1,224144251,224144252
2425,cg00103908,1,3173966,3173967
2429,cg00104098,1,2292043,2292044
2434,cg00104562,19,7673229,7673230
2437,cg00104707,15,86976111,86976112
2441,cg00105102,1,154483802,154483803
2442,cg00105229,15,32569261,32569262
2444,cg00105306,15,82995982,82995983
2446,cg00105400,19,50908019,50908020
2448,cg00105470,1,226357491,226357492
2453,cg00105640,1,3681854,3681855
2456,cg00106073,1,154350958,154350959
2460,cg00106196,1,3162544,3162545
2466,cg00106432,15,82331270,82331271
2467,cg00106446,1,245308753,245308754
2469,cg00106501,15,38973960,38973961
2476,cg00106744,21,26028799,26028800
2481,cg00106925,21,44705533,44705534
2485,cg00107046,1,16338149,16338150
2488,cg00107241,1,29333657,29333658
2494,cg00107603,19,19377022,19377023
2501,cg00107682,15,94689963,94689964
2503,cg00107782,1,149567245,149567246
2504,cg00107890,15,69279800,69279801
2507,cg00107970,1,154386081,154386082
2514,cg00108222,15,47055338,47055339
2519,cg00108454,1,22836201,22836202
2520,cg00108524,1,30331711,30331712
2525,cg00108716,1,226669023,226669024
2538,cg00109164,1,165289235,165289236
2540,cg00109293,1,3139690,3139691
2551,cg00109776,19,58924144,58924145
2555,cg00110041,15,78929398,78929399
2557,cg00110192,15,65334312,65334313
2569,cg00110769,1,109923612,109923613
2578,cg00111333,1,197094872,197094873
2589,cg00111677,15,30247558,30247559
2590,cg00111697,1,802623,802624
2596,cg00111948,1,27564565,27564566
2599,cg00112042,1,145022489,145022490
2604,cg00112238,1,54492526,54492527
2605,cg00112251,1,19796790,19796791
2607,cg00112260,1,31877507,31877508
2616,cg00112588,1,176328568,176328569
2617,cg00112685,19,11452190,11452191
2619,cg00112780,1,226712085,226712086
2621,cg00112929,1,157172103,157172104
2622,cg00112952,1,245683146,245683147
2623,cg00113020,19,59865294,59865295
2627,cg00113117,1,56719342,56719343
2628,cg00113194,1,874732,874733
2631,cg00113315,1,9020622,9020623
2633,cg00113369,1,2967721,2967722
2638,cg00113712,1,2376311,2376312
2640,cg00114008,1,26987010,26987011
2642,cg00114029,1,35123994,35123995
2643,cg00114084,1,33275238,33275239
2656,cg00114694,15,38432020,38432021
2657,cg00114710,1,152739964,152739965
2658,cg00114784,15,95123508,95123509
2662,cg00114966,1,196160543,196160544
2664,cg00115101,1,36462464,36462465
2670,cg00115297,15,81206513,81206514
2671,cg00115313,1,191295744,191295745
2683,cg00115980,1,205885057,205885058
2686,cg00116092,1,215379667,215379668
2692,cg00116412,15,48261889,48261890
2694,cg00116430,1,93960856,93960857
2699,cg00116658,1,229230296,229230297
2700,cg00116686,1,27950118,27950119
2705,cg00116838,19,50693586,50693587
2708,cg00117012,15,71783411,71783412
2711,cg00117172,1,25128425,25128426
2714,cg00117335,1,117007965,117007966
2717,cg00117600,15,53398716,53398717
2720,cg00117825,1,56776605,56776606
2730,cg00118229,21,42961489,42961490
2731,cg00118317,21,33313899,33313900
2736,cg00118468,1,203463559,203463560
2737,cg00118507,1,113017457,113017458
2743,cg00118966,1,154823015,154823016
2755,cg00119186,1,156936748,156936749
2757,cg00119241,1,15025182,15025183
2775,cg00120210,15,83060597,83060598
2780,cg00120358,1,100388140,100388141
2787,cg00120825,1,2328598,2328599
2789,cg00120948,1,8407004,8407005
2791,cg00121030,1,147415938,147415939
2794,cg00121147,1,201242962,201242963
2797,cg00121209,19,59297963,59297964
2801,cg00121374,1,3382498,3382499
2804,cg00121533,1,74971705,74971706
2815,cg00122254,1,46541907,46541908
2818,cg00122362,15,96782812,96782813
2821,cg00122659,1,178068250,178068251
2833,cg00123035,1,149586162,149586163
2837,cg00123090,1,232733710,232733711
2839,cg00123104,1,9807319,9807320
2842,cg00123214,1,95476195,95476196
2855,cg00124009,1,199706201,199706202
2856,cg00124011,1,13948545,13948546
2859,cg00124133,15,87277440,87277441
2868,cg00124774,1,44208150,44208151
2870,cg00124902,1,34417696,34417697
2872,cg00124920,1,176782374,176782375
2878,cg00125159,1,226356763,226356764
2888,cg00125858,1,44341985,44341986
2889,cg00125893,15,69534741,69534742
2892,cg00126173,15,56941742,56941743
2902,cg00126739,15,67493429,67493430
2923,cg00127732,19,47449686,47449687
2930,cg00128171,15,82915358,82915359
2934,cg00128273,21,45753511,45753512
2941,cg00128530,15,53276666,53276667
2950,cg00128766,1,46957803,46957804
2952,cg00128805,15,38117993,38117994
2954,cg00128877,1,46842765,46842766
2955,cg00128951,1,88699758,88699759
2956,cg00129132,1,45728434,45728435
2969,cg00129785,21,46279881,46279882
2985,cg00130693,1,224177350,224177351
2990,cg00130808,15,34966201,34966202
2995,cg00131081,19,41712012,41712013
3019,cg00132255,1,212218699,212218700
3044,cg00133909,15,71764254,71764255
3046,cg00134028,19,15404806,15404807
3054,cg00134539,21,42697140,42697141
3085,cg00136192,19,5929423,5929424
3089,cg00136477,1,22842926,22842927
3098,cg00137016,19,57367043,57367044
3118,cg00137944,1,50570852,50570853
3137,cg00139056,1,8307983,8307984
3158,cg00140335,15,37940220,37940221
3191,cg00142266,15,75576362,75576363
3200,cg00142735,15,62241880,62241881
3202,cg00142815,1,203504881,203504882
3215,cg00143527,15,79079226,79079227
3217,cg00143623,1,44268345,44268346
3220,cg00143729,15,36151038,36151039
3224,cg00143998,1,226712482,226712483
3239,cg00145055,15,44308887,44308888
3240,cg00145079,15,65899942,65899943
3245,cg00145150,19,51405816,51405817
3247,cg00145253,1,75375445,75375446
3256,cg00145672,1,152997162,152997163
3264,cg00145904,1,10620290,10620291
3265,cg00145911,1,857801,857802
3266,cg00145915,1,73831607,73831608
3268,cg00145961,15,86377300,86377301
3269,cg00145969,1,188334803,188334804
3270,cg00145979,1,153324409,153324410
3277,cg00146240,15,60686451,60686452
3280,cg00146437,1,207596492,207596493
3283,cg00146645,1,226711373,226711374
3285,cg00146669,1,1122825,1122826
3289,cg00146755,21,44375947,44375948
3298,cg00147095,1,153207901,153207902
3299,cg00147160,1,26376578,26376579
3305,cg00147307,1,41898050,41898051
3306,cg00147332,15,20645615,20645616
3311,cg00147627,1,10377734,10377735
3312,cg00147638,1,25100626,25100627
3317,cg00147850,1,143706072,143706073
3318,cg00147863,19,3820599,3820600
3319,cg00147943,1,67998301,67998302
3330,cg00148513,1,239651276,239651277
3339,cg00148881,1,44978001,44978002
3343,cg00149213,1,158883748,158883749
3347,cg00149492,1,35811055,35811056
3348,cg00149537,1,9332397,9332398
3350,cg00149679,15,98551341,98551342
3351,cg00149684,1,153363999,153364000
3353,cg00149708,19,60739696,60739697
3356,cg00149805,1,225530882,225530883
3358,cg00149947,15,87743695,87743696
3361,cg00150025,15,40235371,40235372
3369,cg00150520,1,44855492,44855493
3372,cg00150774,1,217504897,217504898
3380,cg00151048,1,101870715,101870716
3381,cg00151124,15,37635200,37635201
3390,cg00151525,1,52380997,52380998
3391,cg00151565,1,172228527,172228528
3394,cg00151676,1,1515315,1515316
3395,cg00151709,1,28974539,28974540
3401,cg00151906,1,152814897,152814898
3405,cg00152008,1,50661813,50661814
3408,cg00152047,1,165159978,165159979
3409,cg00152117,1,155195469,155195470
3413,cg00152322,15,62985058,62985059
3416,cg00152515,1,64012028,64012029
3418,cg00152577,1,216165109,216165110
3421,cg00152644,1,151334860,151334861
3423,cg00152708,1,1094179,1094180
3428,cg00152878,1,3199379,3199380
3431,cg00152948,21,42070274,42070275
3435,cg00153101,1,2421613,2421614
