,geneid,chr,left,right,symbol,synonyms
250,ILMN_1653372,19,1733076,1763270,ATP8B3,ATPIK
255,ILMN_1653412,19,3720269,3720318,RAXL1,QRX; MGC15631; ARMD6; CORD11
257,ILMN_1653429,1,100208128,100261594,SLC35A3,DKFZp781P1297
265,ILMN_1653466,1,924208,925333,HES4,
267,ILMN_1653494,1,151867173,151871137,S100A1,S100; S100-alpha; S100A
268,ILMN_1653496,1,180617462,180627964,GLUL,GLNS; GS; PIG43
271,ILMN_1653504,1,101478843,101478892,EDG1,CHEDG1; S1PR1; D1S3362; ECGF1; EDG-1
272,ILMN_1653524,1,115117280,115117329,SIKE,RP5-1000E10.4; FLJ21168; DKFZp686A0768
277,ILMN_1653599,19,1192749,1195823,ATP5D,
280,ILMN_1653646,15,72525371,72540576,UBL7,TCBA1; MGC14421; BMSC-UbP
282,ILMN_1653652,1,196874424,196993168,PTPRC,CD45; LY5; T200; LCA; B220; GP180
293,ILMN_1653730,1,40007782,40009607,OXCT2,FKSG25; SCOT-T; FLJ00030
298,ILMN_1653771,1,85237418,85371409,WDR63,RP11-507C22.2; FLJ30067; NYD-SP29
303,ILMN_1653824,1,181421797,181479158,LAMC2,EBR2; MGC141938; MGC138491; LAMB2T; LAMNB2; BM600; EBR2A; B2T
308,ILMN_1653861,1,41265461,41480375,SCMH1,Scml3
317,ILMN_1654010,21,44109544,44231903,AGPAT3,MGC4604; LPAAT-GAMMA1
322,ILMN_1654060,19,1988481,2002243,MKNK2,GPRK7; MNK2
327,ILMN_1654099,1,113417354,113468865,LRIG2,KIAA0806; DKFZp451C181
336,ILMN_1654210,1,156526187,156531188,CD1C,a1 domain; CD1
340,ILMN_1654246,19,4125106,4133596,SIRT6,SIR2L6
344,ILMN_1654319,15,87221523,87239774,HAPLN3,HsT19883; EXLD1
346,ILMN_1654323,15,23133489,23235221,UBE3A,EPVE6AP; AS; ANCR; HPVE6A; E6-AP
347,ILMN_1654324,1,39861691,39877935,HEYL,
350,ILMN_1654370,1,45582142,45729427,TESK2,
354,ILMN_1654398,1,181871831,182164289,RGL1,RGL; KIAA0959
359,ILMN_1654422,1,234916422,234993863,ACTN2,
361,ILMN_1654466,21,41471025,41471074,PLAC4,
368,ILMN_1654540,15,45798063,45798112,LOC653614,
376,ILMN_1654571,19,17726920,17760371,FCHO1,KIAA0290
390,ILMN_1654692,1,176960923,177153766,RALGPS2,KIAA0351; FLJ10244; FLJ25604; dJ595C2.1
391,ILMN_1654696,15,43510055,43512937,C15orf48,FLJ22645; MGC32925; NMES1; FOAP-11
393,ILMN_1654703,1,9086668,9111837,GPR157,FLJ12132
404,ILMN_1654864,1,220952529,220972732,C1orf58,FLJ32421; RP11-452F19.1
406,ILMN_1654875,19,44913736,44921512,CLC,LGALS10; LPPL_HUMAN; MGC149659
407,ILMN_1654890,19,59652208,59665012,LENG8,pp13842; MGC40108; KIAA1932
408,ILMN_1654893,15,72924250,72952759,SCAMP2,
409,ILMN_1654916,15,87972211,87992583,KIF7,MGC120653; MGC138478; MGC138476; UNQ340
412,ILMN_1654942,19,3310616,3414603,NFIC,CTF5; CTF; NF-I; NFI; MGC20153
414,ILMN_1654946,19,63287278,63287327,ZNF447,ZNF447; DKFZp586B1122; FLJ44152; MGC2427; MGC8682; MGC4074; FLJ12895
426,ILMN_1655137,1,52661538,52791331,ZCCHC11,PAPD3
427,ILMN_1655154,19,748411,763327,PTBP1,HNRNPI; PTB-T; PTB3; PTB-1; MGC8461; HNRPI; HNRNP-I; PTB2; MGC10830; PTB; PTB4; pPTB
428,ILMN_1655161,1,2242556,2346079,MORN1,FLJ13941; RP4-740C4.1
434,ILMN_1655191,1,10619267,10779294,CASZ1,dJ734G22.1; FLJ12223; ZNF693; RP4-734G22.2; FLJ20321
437,ILMN_1655225,19,1425814,1430198,C19orf25,FLJ36666
452,ILMN_1655374,19,44703023,44703072,SELV,
454,ILMN_1655382,1,114249561,114258215,DCLRE1B,SNM1B; FLJ12810; FLJ13998
456,ILMN_1655414,19,6615568,6621599,TNFSF14,LTg; CD258; LIGHT; HVEML; TR2
457,ILMN_1655418,19,41322758,41333094,CAPNS1,CANP; CALPAIN4; CDPS; 30K; CANPS; CAPN4
458,ILMN_1655422,1,109336399,109337022,RPL17,rpL23
459,ILMN_1655426,19,56049983,56055832,KLK3,hK3; APS; PSA; KLK2A1
464,ILMN_1655469,15,75125387,75150568,TSPAN3,TM4-A; TSPAN-3; TM4SF8
467,ILMN_1655485,1,229540305,229556611,C1orf124,DKFZP547N043; PRO4323; DDDL1880; dJ876B10.3; RP5-876B10.3
475,ILMN_1655545,1,42668675,42694525,ZMYND12,DKFZp434N2435
476,ILMN_1655549,19,56605088,56613263,SIGLEC10,SLG2; SIGLEC-10; PRO940
482,ILMN_1655577,21,31412607,31853161,TIAM1,
487,ILMN_1655612,19,17972944,17985903,ARRDC2,CLONE24945; PP2703
489,ILMN_1655625,19,38309459,38309479,GPATC1,FLJ38686; FLJ34516; FLJ10206; GPATC1; ECGP
491,ILMN_1655637,19,40849555,40861207,UPK1A,UPIA; UPKA; UP1A; MGC14388; TSPAN21
492,ILMN_1655642,15,87661081,87661130,KIAA1794,FLJ10719
494,ILMN_1655645,1,33246173,33275079,AK2,ADK2
497,ILMN_1655684,19,44097751,44113376,SARS2,SERS; SARSM; FLJ20450; mtSerRS; SYS; SerRSmt; SARS
500,ILMN_1655713,1,246553555,246554493,OR2M7,OR1-58
502,ILMN_1655722,1,114220962,114231726,C1orf178,FLJ22588; Bfk
504,ILMN_1655734,1,84717530,84735949,BXDC5,DKFZp761M0215; RPF1; RP11-118B23.1; DKFZp761G0415; FLJ12475
506,ILMN_1655765,1,148532893,148548038,MRPS21,MDS016; RPMS21; MRP-S21
508,ILMN_1655788,19,45272266,45272315,LOC284323,ZNF780
511,ILMN_1655844,1,220786452,220829878,TAF1A,TAFI48; SL1; RAFI48; MGC:17061
517,ILMN_1655904,1,64012281,64419769,ROR1,dJ537F10.1; NTRKR1; MGC99659
523,ILMN_1655932,1,27939052,27939727,RPE,MGC2636; RPE2-1
529,ILMN_1655983,1,100590611,100758420,CDC14A,Cdc14A1; Cdc14A2; hCDC14; cdc14
533,ILMN_1656011,1,190811480,190815782,RGS1,BL34; IR20; IER1; 1R20
534,ILMN_1656016,1,181075074,181123505,DHX9,NDH II; LKP; NDHII; DDX9; RHA
537,ILMN_1656042,1,35671679,35795591,KIAA0319L,PP791; RP4-765A10.3; KIAA1837; PKD1-like
538,ILMN_1656045,15,70364123,70399579,BRUNOL6,CELF6
539,ILMN_1656051,21,30791013,30791322,KRTAP19-4,KAP19.4
541,ILMN_1656066,19,12671017,12694078,TNPO2,KPNB2B; FLJ12155; TRN2; IPO3
544,ILMN_1656088,1,161087730,161105229,C1orf110,MGC48998; FLJ41579; RP11-331H2.2
547,ILMN_1656118,19,3996217,4017816,ZBTB7A,MGC99631; FBI1; ZBTB7; LRF; DKFZp547O146; FBI-1; pokemon
552,ILMN_1656144,1,204924912,204974249,MAPKAPK2,
557,ILMN_1656186,1,204024847,204048821,SLC41A1,MgtE
559,ILMN_1656193,19,8669058,8669107,MGC33407,HSD21
563,ILMN_1656221,1,246879855,246880808,OR2T27,
566,ILMN_1656274,1,52642807,52656579,PRPF38A,MGC3320; RP5-965L7.1; FLJ14936
569,ILMN_1656291,19,54934830,54958355,TSKS,TSKS1
571,ILMN_1656297,21,46530679,46542093,C21orf57,FLJ46907
576,ILMN_1656335,1,154134225,154147801,RIT1,MGC125865; RIBB; RIT; MGC125864; ROC1
577,ILMN_1656338,19,5156519,5291814,PTPRS,PTPSIGMA
579,ILMN_1656368,1,19070513,19101659,ALDH4A1,P5CDh; P5CDhL; P5CD; P5CDhS; ALDH4
589,ILMN_1656413,1,40496320,40532443,ZMPSTE24,FLJ14968; STE24; MADB; FACE-1; Ste24p; FACE1
590,ILMN_1656415,1,51199005,51212893,CDKN2C,INK4C; p18-INK4C; p18
600,ILMN_1656504,19,62554487,62563078,ZNF304,MGC129703; MGC129704
602,ILMN_1656537,15,22652824,22770696,SNURF,
604,ILMN_1656546,1,155171257,155281786,ARHGEF11,KIAA0380; DKFZp667F1223; PDZ-RHOGEF; GTRAP48
608,ILMN_1656576,19,3831639,3873184,ATCAY,CLAC; BNIP-H; KIAA1872
610,ILMN_1656593,1,77520250,77798238,AK5,AK6; MGC33326
613,ILMN_1656621,19,63754746,63758298,CHMP2A,VPS2; VPS2A; CHMP2; BC-2; BC2
615,ILMN_1656628,21,43136275,43172747,WDR4,TRM82
619,ILMN_1656676,1,52964769,53063913,ZYG11B,FLJ13456; ZYG11
623,ILMN_1656706,1,150902496,150903759,LCE2D,SPRL1A; LEP12
625,ILMN_1656724,1,246045137,246045186,OR5AT1,
628,ILMN_1656798,1,200191271,200206410,TIMM17A,TIM17A; TIM17
631,ILMN_1656812,19,3884101,3893412,ITGB1BP3,MGC126624; NRK2; MIBP
632,ILMN_1656822,19,10685143,10803579,DNM2,CMTDI1; CMTDIB; DYNII; DYN2
635,ILMN_1656840,1,12212700,12494686,VPS13D,
637,ILMN_1656886,19,40936897,40936898,F25965,ZK418.4; lin-37; F25965; MGC9505
638,ILMN_1656902,1,45240799,45249614,HECTD3,FLJ31983; RP11-69J16.1; FLJ21156; MGC161630
651,ILMN_1657009,1,203064446,203258573,NFASC,KIAA0756; NRCAML; DKFZp686P2250; FLJ46866; NF
661,ILMN_1657128,1,29435634,29525900,PTPRU,GLEPP1; hPTP-J; PTPPSI; PCP-2; FMI; PTP-PI; R-PTP-PSI; PTPRO; PTP; PTPU2; PTP-J
663,ILMN_1657144,1,226420139,226436581,C1orf69,FLJ12734
665,ILMN_1657148,19,1218529,1218578,C19orf23,MGC39338
669,ILMN_1657191,21,44823760,44824909,KRTAP10-5,KRTAP18.5; KRTAP18.1; KAP18-5; KRTAP10.5; KRTAP18-5; KAP18.5; KAP10.5
671,ILMN_1657204,19,52326028,52405287,SAE1,SUA1; AOS1; HSPC140; FLJ3091
683,ILMN_1657340,19,42880260,42880309,LOC653484,
696,ILMN_1657442,21,45318196,45470903,ADARB1,ADAR2a; ADAR2; DRABA2; DRADA2; ADAR2a-L1; ADAR2a-L2; ADAR2g; RED1; ADAR2a-L3; ADAR2b; ADAR2d
697,ILMN_1657446,1,231152993,231180842,C1orf57,RP4-659I19.2; RP4-678E16.2; MGC13186; FLJ11383
699,ILMN_1657455,19,46817184,46825282,CEACAM4,NCA; CGM7_HUMAN; CGM7
712,ILMN_1657571,19,12709306,12720137,ASNA1,MGC3821; ARSA1; ARSA-I
722,ILMN_1657665,1,91153447,91260358,ZNF644,BM-005; MGC70410; MGC60165; Zep-2; KIAA1221
723,ILMN_1657679,1,107915307,108309068,VAV3,
726,ILMN_1657683,1,229039499,229070913,C1orf198,FLJ14525; FLJ16283; DKFZp667D152; MGC10710; FLJ38847
731,ILMN_1657729,19,24104006,24104055,ZNF539,
732,ILMN_1657744,15,72979382,72986515,C15orf17,FLJ00005
736,ILMN_1657754,1,92626087,92626136,C1orf82,C1orf82; FLJ13150; RP11-163M2.4
740,ILMN_1657771,1,152186775,152197725,CRTC2,RP11-422P24.6; TORC2
741,ILMN_1657790,1,70443953,70502757,SFRS11,DKFZp686M13204; dJ677H15.2; p54
742,ILMN_1657796,1,26099196,26105955,STMN1,PR22; PP17; OP18; SMN; LAP18; PP19; Lag
744,ILMN_1657803,1,194887764,194983255,CFH,HF; CFHL3; HUS; MGC88246; HF1; FH; ARMD4; FHL1; ARMS1; HF2
748,ILMN_1657836,19,44595065,44607996,PLEKHG2,CLG; FLJ00018; FLJ22458
757,ILMN_1657870,1,177335085,177465155,ABL2,ABLL; ARG
764,ILMN_1657913,1,43628140,43690891,C1orf84,FLJ34502; RP11-506B15.1
774,ILMN_1658027,1,46486004,46516732,RAD54L,HR54; hRAD54; RAD54A; hHR54
775,ILMN_1658040,15,76419750,76427622,CRABP1,RBP5; CRABPI; CRABP; CRABP-I
776,ILMN_1658071,1,167341559,167368584,ATP1B1,MGC1798; ATP1B
777,ILMN_1658080,19,42921043,42999780,ZNF573,FLJ30921
784,ILMN_1658152,19,45389491,45413314,MAP3K10,MLK2; MST
787,ILMN_1658173,19,63125064,63138552,ZNF418,MGC138449; KIAA1956; FLJ31551
789,ILMN_1658176,21,42492868,42590423,ABCG1,WHITE1; ABC8; MGC34313
791,ILMN_1658187,1,15129074,15129123,KIAA1026,RP1-21O18.1
792,ILMN_1658206,1,36656095,36688639,C1orf102,NOR1; MGC26685; OSCP1
796,ILMN_1658231,19,13112678,13112727,BTBD14B,FLJ37383; NAC1
803,ILMN_1658261,15,39853974,39906644,MAPKBP1,
804,ILMN_1658271,21,46432793,46473119,LSS,OSC
808,ILMN_1658301,19,53795669,53808506,FAM83E,MGC138177; MGC138175; FLJ20200
811,ILMN_1658333,1,148747158,148752626,ECM1,
816,ILMN_1658376,19,53491741,53491790,FLJ32926,FLJ32926
822,ILMN_1658420,21,40304796,41140935,DSCAM,CHD2-52; CHD2-42
827,ILMN_1658472,1,148502512,148508156,APH1A,APH-1A; CGI-78; 6530402N02Rik
829,ILMN_1658486,19,3713665,3718562,MRPL54,
831,ILMN_1658498,1,95058523,95133389,SLC44A3,CTL3; MGC45474
839,ILMN_1658624,19,4396564,4396613,UBXD1,UBXDC2; DKFZp667D109
841,ILMN_1658632,19,60141356,60141405,NALP7,MGC126470; PYPAF3; NALP7; HYDM; CLR19.4; PAN7; MGC126471; NOD12
845,ILMN_1658660,15,32870619,32870668,ACTC,CMD1R
849,ILMN_1658679,19,19507211,19507259,FLJ44968,
852,ILMN_1658695,1,161558347,161592178,NUF2,NUF2R; CDCA1
859,ILMN_1658743,15,41264832,41274685,CCNDBP1,DIP1; GCIP
861,ILMN_1658759,1,158513231,158521555,PEX19,D1S2223E; PXF; HK33
865,ILMN_1658802,1,153408509,153412428,KRTCAP2,KCP2
878,ILMN_1658926,19,15131445,15172792,NOTCH3,CASIL; CADASIL
884,ILMN_1658989,15,80121997,80122046,RKHD3,RNF195; DKFZp434J0617; MGC117199; MEX-3B; RKHD3
887,ILMN_1659024,1,203463661,203509094,TMCC2,HUCEP11; FLJ38497; KIAA0481
889,ILMN_1659027,1,43164115,43197126,SLC2A1,MGC141896; GLUT1; MGC141895; GLUT
897,ILMN_1659106,1,199701245,199704988,PHLDA3,TIH1
900,ILMN_1659148,1,200368600,200380489,ARL8A,ARL10B; GIE2; FLJ45195
907,ILMN_1659227,19,47073030,47077279,CD79A,MB-1; IGA
910,ILMN_1659257,1,12046021,12126851,TNFRSF8,CD30; KI-1; D1S166E
913,ILMN_1659285,21,39472249,39472298,DSCR2,C21LRP; PAC1; LRPC21
930,ILMN_1659444,1,10193418,10364248,KIF1B,KIAA0591; HMSNII; CMT2; KIAA1448; CMT2A; MGC134844; KLP; FLJ23699; CMT2A1
932,ILMN_1659462,1,158017346,158018957,DUSP23,MOSP; FLJ20442; RP11-190A12.1; DUSP25; VHZ; LDP-3
938,ILMN_1659522,19,60275200,60291102,EPS8L1,DRC3; PP10566; EPS8R1; FLJ20258; MGC23164; MGC4642
940,ILMN_1659537,1,43622176,43628070,MED8,MGC19641; MGC17544; ARC32
944,ILMN_1659565,1,17173584,17179760,MFAP2,MAGP-1; MAGP; MAGP1
946,ILMN_1659599,1,33319301,33358709,ADC,ODC1L; KIAA1945; ODC-p
948,ILMN_1659610,19,3672735,3701807,TJP3,ZO-3; MGC119546
949,ILMN_1659620,1,39101221,39111637,MYCBP,AMY-1
953,ILMN_1659682,15,47235268,47409294,GALK2,GK2; MGC1745
956,ILMN_1659725,19,46584121,46595096,EXOSC5,RRP46; Rrp46p; p12B; MGC111224; MGC12901; RRP41B; hRrp46p
957,ILMN_1659727,15,40803054,40816709,CDAN1,CDA1; codanin; PRO1295; CDA-I; CDAI
958,ILMN_1659744,19,54872350,54883516,PRMT1,IR1B4; ANM1; HRMT1L2; HCP1
961,ILMN_1659769,21,32585995,32608966,MRAP,FGD2; C21orf61; B27; GCCD2; FALP
962,ILMN_1659770,21,38550533,38595618,KCNJ15,KIR1.3; KIR4.2; MGC13584
965,ILMN_1659786,1,100371294,100388632,CCDC76,FLJ10287; FLJ11219
973,ILMN_1659845,19,39437296,39538311,KIAA0355,
974,ILMN_1659856,1,32486876,32486925,C1orf90,MGC10820
976,ILMN_1659874,21,31965217,32026259,SFRS15,SCAF4; DKFZP434E098; FLJ23364; SRA4; KIAA1172
981,ILMN_1659913,15,86982978,87000718,ISG20,CD25; HEM45
984,ILMN_1659926,1,112867666,112963563,ST7L,FLJ11657; FLJ20284; STLR; ST7R
986,ILMN_1659936,19,54067490,54071126,PPP1R15A,GADD34
988,ILMN_1659950,19,1401148,1424243,APC2,APCL
991,ILMN_1659960,19,55084728,55124608,IL4I1,FIG1
992,ILMN_1659975,1,35952238,35952287,FLJ38984,FLJ38984
999,ILMN_1660021,19,4789346,4818676,M6PRBP1,MGC2012; PP17; TIP47; MGC11117
1001,ILMN_1660043,1,26481570,26481619,UBXD5,PP2243; SOC; COA-1; DKFZp686F04228
1009,ILMN_1660176,19,61586460,61596705,ZNF582,FLJ30927
1011,ILMN_1660186,1,25421354,25431600,SYF2,P29; CBPIN; NTC31
1012,ILMN_1660193,19,41727140,41756030,ZNF529,KIAA1615
1016,ILMN_1660217,1,31855888,31870706,HCRTR1,OX1R
1023,ILMN_1660292,1,148532893,148548038,MRPS21,RPMS21; MRP-S21; MDS016
1027,ILMN_1660317,1,224140606,224143469,LEFTY1,LEFTYB; LEFTB
1031,ILMN_1660345,15,88609899,88616447,NGRN,NEUGRIN; DSC92
1038,ILMN_1660403,15,55788274,55788323,Gcom1,Gup2; Gup1; MGC126694; GRINL1A; Gcom2; FLJ30973
1046,ILMN_1660462,1,85163855,85235384,MCOLN2,FLJ36691
1050,ILMN_1660536,15,48580052,48626194,USP50,
1051,ILMN_1660541,1,231186505,231498082,PCNXL2,KIAA0435; FLJ11383
1053,ILMN_1660549,1,68336740,68470854,GPR177,FLJ23091; C1orf139; WLS; MGC131760; MRP; MGC14878
1058,ILMN_1660585,15,81464398,81471362,C15orf40,MGC29937
1059,ILMN_1660602,1,152445807,152459897,C1orf43,HSPC012; DKFZp586G1722; S863-3; MGC111001; NICE-3
1060,ILMN_1660608,15,24339786,24767329,GABRB3,MGC9051
1069,ILMN_1660663,21,37807437,37807486,LOC653542,
1074,ILMN_1660723,19,60247523,60272709,RDH13,
1079,ILMN_1660786,1,114203267,114321949,HIPK1,MGC33446; KIAA0630; Nbak2; MGC26642; MGC33548; Myak
1089,ILMN_1660840,1,242938451,242938500,C1orf121,FLJ21998; PNAS-4; CGI-146
1103,ILMN_1660938,1,45578512,45582223,TOE1,FLJ13949
1105,ILMN_1660965,19,5734211,5734260,MGC24975,
1110,ILMN_1660995,19,2200113,2203072,AMH,MIS; MIF
1111,ILMN_1661002,1,174180590,174442993,RFWD2,RP11-318C24.3; FLJ10416; COP1; RNF200
1113,ILMN_1661004,19,16013751,16013800,FLJ25328,MGC126002
1117,ILMN_1661109,1,210805320,210860740,ATF3,
1124,ILMN_1661173,15,62467073,62534530,TRIP4,HsT17391
1126,ILMN_1661188,1,114203267,114321949,HIPK1,MGC33446; KIAA0630; Nbak2; MGC26642; MGC33548; Myak
1127,ILMN_1661189,1,195389437,195436295,ZBTB41,DKFZp686C06120; FLJ36199; FRBZ1; RP11-469L3.1
1128,ILMN_1661194,21,36754789,36870737,CLDN14,DFNB29
1133,ILMN_1661293,19,49290337,49304317,ZNF224,BMZF2; BMZF-2; ZNF255
1134,ILMN_1661299,19,2927853,2946176,TLE6,MGC14966; FLJ14009; GRG6
1141,ILMN_1661337,1,11037236,11042678,SRM,SRML1; SPDSY; PAPT; SPS1
1142,ILMN_1661343,19,6615568,6621599,TNFSF14,LTg; CD258; LIGHT; HVEML; TR2
1146,ILMN_1661373,21,44227991,44228040,LOC653101,
1152,ILMN_1661443,15,70239202,70277180,GRAMD2,
1154,ILMN_1661458,1,226336984,226353535,ARF1,
1156,ILMN_1661484,19,63716727,63716776,ZNF499,FLJ14486; DKFZp547H249; ZNF499
1157,ILMN_1661485,1,233361573,233391194,RBM34,KIAA0117
1165,ILMN_1661537,1,65658902,65670837,LEPROT,OB-RGRP; OBRGRP; FLJ90360; LEPR; VPS55
1173,ILMN_1661595,1,196138400,196143110,C1orf53,
1174,ILMN_1661596,1,211135305,211135354,FLVCR,FLVCR1; FLVCR
1179,ILMN_1661627,1,9911584,9926052,LZIC,MGC15436
1180,ILMN_1661631,19,59491666,59501764,LILRA3,HM31; LIR-4; CD85E; e3; ILT6; HM43; LIR4
1188,ILMN_1661708,19,43953452,43955989,LGALS7,PIG1; GAL7; TP53I1
1207,ILMN_1661888,15,97923712,98074131,MEF2A,ADCAD1; RSRFC9; RSRFC4
1209,ILMN_1661940,1,6767971,7752350,CAMTA1,KIAA0833
1213,ILMN_1661994,1,214743211,215377720,ESRRG,DKFZp781L1617; ERR3; KIAA0832; FLJ16023; NR3B3
1217,ILMN_1662019,15,22619887,22776293,SNRPN,SMN; SM-D; SNRNP-N; SNURF-SNRPN; HCERN3; RT-LI
1218,ILMN_1662021,1,90230310,90266685,ZNF326,FLJ20403; dJ871E2.1; ZAN75; Zfp326; MGC61591
1230,ILMN_1662147,1,38032361,38045938,MANEAL,RP11-109P14.3; MGC78681; FLJ31434
1232,ILMN_1662155,1,1971769,2106692,PRKCZ,PKC2
1242,ILMN_1662256,15,70320577,70350682,PARP6,
1244,ILMN_1662302,19,44450997,44452572,IL28A,IFNL2; IL-28A
1252,ILMN_1662340,19,7487004,7491912,ZNF358,ZFEND; FLJ10390
1253,ILMN_1662358,21,41714312,41753011,MX1,MxA; IFI78; MX; IFI-78K
1254,ILMN_1662362,1,200429561,200555512,LGR6,VTS20631; GPCR; FLJ14471
1257,ILMN_1662383,1,71303951,71303989,ZNF265,DKFZp686J1831; DKFZp686N09117; ZIS2; ZIS1; FLJ41119; ZIS; ZNF265
1260,ILMN_1662419,19,41333664,41335611,COX7A1,COX7AH; COX7A; COX7AM
1261,ILMN_1662426,19,52033263,52046043,AP2S1,AP17; CLAPS2; AP17-DELTA
1262,ILMN_1662432,19,50722867,50779962,OPA3,FLJ25932; MGC75494; MGA3; FLJ22187
1263,ILMN_1662438,21,31953806,31963115,SOD1,ALS1; IPOA; SOD; homodimer; ALS
1264,ILMN_1662451,19,7659663,7672997,FCER2,CLEC4J; CD23A; FCE2; CD23; IGEBF
1284,ILMN_1662687,19,14405166,14443678,PKN1,PRKCL1; PAK1; PKN; DBK; PRK1; MGC46204
1290,ILMN_1662741,19,19595571,19595620,EDG4,LPAR2; EDG-4; LPA2
1293,ILMN_1662777,19,21940737,21985561,ZNF208,PMIDP
1296,ILMN_1662824,19,447490,456340,MADCAM1,MACAM1
1299,ILMN_1662843,1,111217245,111244081,CD53,TSPAN25; MOX44
1312,ILMN_1662949,1,1168307,1168356,C1QDC2,
1313,ILMN_1662950,19,60275200,60291102,EPS8L1,DRC3; PP10566; EPS8R1; FLJ20258; MGC23164; MGC4642
